Disease,Country,Hospital_Type,Treatment_Type,Stay_Days,City,Room_Type,Treatment_Cost,Travel_Expense,Stay_Cost,Total_Cost
Knee Replacement,USA,Private,Radiotherapy,3.0,Dubai,Semi-Private,11164.13,1117.66,848.57,13130.35
Knee Replacement,UK,Public,Chemotherapy,11.0,Bangkok,General Ward,10841.83,1722.85,1136.12,13700.8
Cataract Surgery,UK,Premium International,Surgical,20.0,Singapore,General Ward,17458.75,2281.11,3026.43,22766.29
Oncology Treatment,UAE,Private,Non-Surgical,22.0,Seoul,Private,31910.67,914.04,11885.59,44710.29
Dental Implants,Australia,Public,Radiotherapy,13.0,Singapore,Semi-Private,2311.69,1469.89,3982.35,7763.92
Dental Implants,UK,Private,Non-Surgical,24.0,Mumbai,General Ward,3450.05,1730.12,2359.89,7540.06
Knee Replacement,France,Private,Chemotherapy,13.0,Bangkok,VIP Suite,7214.38,2941.63,14073.38,24229.39
Cosmetic Surgery,Germany,Premium International,Radiotherapy,16.0,Singapore,Semi-Private,7063.71,789.87,4732.64,12586.22
Cosmetic Surgery,Australia,Public,Chemotherapy,16.0,Istanbul,Semi-Private,12112.69,1510.06,3120.25,16743.01
Knee Replacement,UK,Private,Surgical,20.0,Singapore,Semi-Private,9450.36,2065.71,5705.55,17221.61
Oncology Treatment,UK,Public,Chemotherapy,24.0,Mumbai,VIP Suite,44211.19,1955.36,23674.85,69841.4
Spinal Fusion,Germany,Premium International,Surgical,35.0,Bangkok,VIP Suite,5096.02,759.75,,42404.5
Knee Replacement,France,Private,Radiotherapy,4.0,Bangkok,Private,13977.48,1401.59,1593.7,16972.77
Cataract Surgery,UK,Public,Surgical,3.0,Mumbai,General Ward,7117.63,1513.13,323.29,8954.05
Heart Bypass,Canada,Public,Non-Surgical,31.0,Bangkok,General Ward,18075.78,4174.8,3079.83,25330.4
Cataract Surgery,Canada,Private,Radiotherapy,3.0,Kuala Lumpur,General Ward,12562.32,2861.62,304.87,15728.8
Spinal Fusion,UK,Premium International,Chemotherapy,23.0,Bangkok,Semi-Private,6466.03,694.88,4646.88,11807.79
Knee Replacement,Canada,Private,Non-Surgical,5.0,Kuala Lumpur,General Ward,6636.37,2902.47,456.42,9995.25
Cataract Surgery,UAE,Premium International,Surgical,7.0,Singapore,Semi-Private,14250.13,2763.26,1994.73,19008.12
Dental Implants,UK,Private,Non-Surgical,8.0,Singapore,VIP Suite,2352.64,2285.73,11934.74,16573.11
Heart Bypass,USA,Public,Non-Surgical,38.0,Kuala Lumpur,Semi-Private,28240.25,1943.6,7708.37,37892.22
Spinal Fusion,Australia,Public,Non-Surgical,20.0,Seoul,General Ward,5566.95,3217.66,3055.04,11839.64
Knee Replacement,France,Public,Chemotherapy,4.0,Istanbul,VIP Suite,8112.17,1330.87,4030.08,13473.12
Heart Bypass,Australia,Premium International,Non-Surgical,39.0,Seoul,General Ward,38384.88,1966.46,6342.77,46694.11
Heart Bypass,UK,Private,Chemotherapy,11.0,Dubai,Semi-Private,8346.33,1462.45,3118.94,12927.72
Oncology Treatment,USA,Private,Radiotherapy,13.0,Mumbai,General Ward,14854.06,866.57,1406.53,17127.16
Spinal Fusion,Germany,Premium International,Surgical,16.0,Kuala Lumpur,General Ward,12581.82,1066.51,1537.67,15186.01
Dental Implants,Germany,Private,Surgical,2.0,Bangkok,VIP Suite,4378.9,864.14,2011.49,7254.52
Cataract Surgery,USA,Private,Chemotherapy,27.0,Kuala Lumpur,Semi-Private,10149.42,1345.81,5637.01,17132.24
Spinal Fusion,UAE,Private,Chemotherapy,40.0,Singapore,Semi-Private,13527.08,1844.22,10782.46,26153.76
Oncology Treatment,Australia,Private,Radiotherapy,17.0,Istanbul,Private,81902.04,867.05,7070.78,89839.86
Cataract Surgery,Australia,Public,Non-Surgical,2.0,Dubai,General Ward,6235.22,2075.66,283.48,8594.35
Heart Bypass,Canada,Premium International,Radiotherapy,25.0,Kuala Lumpur,VIP Suite,70159.73,2019.95,24904.05,97083.73
Cosmetic Surgery,USA,Public,Surgical,14.0,Singapore,Semi-Private,6701.17,2643.37,4308.06,13652.61
Oncology Treatment,France,Premium International,Radiotherapy,26.0,Kuala Lumpur,General Ward,,717.63,2604.63,104757.8
Oncology Treatment,UAE,Private,Non-Surgical,23.0,Istanbul,VIP Suite,47240.34,2211.02,23542.6,72993.97
Cataract Surgery,Germany,Private,Non-Surgical,19.0,Dubai,Private,6915.79,1162.15,11372.76,19450.69
Heart Bypass,USA,Premium International,Non-Surgical,31.0,Istanbul,Semi-Private,77183.6,3073.23,5929.07,86185.9
Oncology Treatment,France,Private,Radiotherapy,19.0,Bangkok,VIP Suite,35999.1,1358.8,19797.76,57155.66
Spinal Fusion,Canada,Public,Non-Surgical,28.0,Kuala Lumpur,General Ward,5222.33,2115.71,2824.36,10162.39
Spinal Fusion,Australia,Premium International,Non-Surgical,44.0,Dubai,General Ward,20119.91,3111.9,7134.47,30366.28
Spinal Fusion,Germany,Public,Non-Surgical,25.0,Istanbul,Semi-Private,5017.8,2371.74,4946.63,12336.18
Cosmetic Surgery,Canada,Premium International,Chemotherapy,3.0,Kuala Lumpur,Private,4846.0,1951.7,1245.62,8043.32
Dental Implants,USA,Public,Surgical,24.0,Mumbai,Private,4801.42,4009.17,9355.97,18166.55
Heart Bypass,France,Public,Chemotherapy,20.0,Mumbai,General Ward,34873.25,2489.31,1931.93,39294.48
Cosmetic Surgery,UK,Private,Chemotherapy,10.0,Bangkok,General Ward,8291.49,2413.4,906.46,11611.35
Oncology Treatment,UAE,Premium International,Surgical,1.0,Bangkok,General Ward,50145.62,1620.24,107.16,51873.01
Spinal Fusion,UAE,Premium International,Chemotherapy,21.0,Istanbul,VIP Suite,24739.25,1876.17,22018.58,48634.0
Heart Bypass,France,Private,Non-Surgical,16.0,Istanbul,General Ward,26049.68,2518.69,1521.7,30090.07
Dental Implants,Germany,Public,Radiotherapy,13.0,Singapore,VIP Suite,5797.66,2300.2,18745.56,26843.42
Spinal Fusion,France,Private,Chemotherapy,29.0,Dubai,Semi-Private,9760.19,2908.36,8210.41,20878.96
Cosmetic Surgery,UK,Public,Surgical,28.0,Seoul,VIP Suite,9415.98,804.71,40682.42,50903.11
Cataract Surgery,France,Premium International,Surgical,22.0,Bangkok,Private,15350.92,1920.02,8741.3,26012.24
Heart Bypass,UK,Public,Surgical,31.0,Istanbul,General Ward,36590.82,2416.52,3125.01,42132.35
Spinal Fusion,Australia,Premium International,Radiotherapy,13.0,Dubai,VIP Suite,7762.77,615.07,18819.24,27197.07
Spinal Fusion,France,Private,Chemotherapy,13.0,Istanbul,General Ward,20143.4,1661.97,1212.92,23018.29
Oncology Treatment,USA,Public,Non-Surgical,27.0,Seoul,Private,49957.83,2292.64,15735.4,67985.87
Dental Implants,France,Premium International,Non-Surgical,19.0,Bangkok,Semi-Private,6365.29,1698.64,3576.27,11640.2
Heart Bypass,Germany,Premium International,Radiotherapy,16.0,Mumbai,VIP Suite,74551.27,1927.45,14260.54,90739.26
Spinal Fusion,UAE,Premium International,Radiotherapy,43.0,Kuala Lumpur,VIP Suite,7641.57,2107.43,44749.81,54498.81
Cosmetic Surgery,Canada,Public,Non-Surgical,23.0,Kuala Lumpur,Semi-Private,13010.42,732.07,5005.88,18748.37
Knee Replacement,USA,Premium International,Surgical,10.0,Singapore,Private,24265.02,2040.73,6284.91,32590.67
Spinal Fusion,Australia,Private,Non-Surgical,16.0,Singapore,VIP Suite,11942.12,2765.72,23854.26,38562.09
Knee Replacement,Canada,Public,Non-Surgical,2.0,Bangkok,VIP Suite,10322.66,1701.28,2001.84,14025.79
Dental Implants,UK,Premium International,Surgical,18.0,Mumbai,Semi-Private,8136.02,2441.25,3599.4,14176.67
Dental Implants,USA,Private,Non-Surgical,21.0,Singapore,Private,1505.78,1362.52,11967.63,14835.93
Dental Implants,USA,Private,Surgical,26.0,Singapore,Semi-Private,4990.37,2092.31,7713.21,14795.88
Dental Implants,Germany,Premium International,Chemotherapy,4.0,Mumbai,VIP Suite,9728.03,1406.38,4098.66,15233.08
Dental Implants,USA,Private,Chemotherapy,19.0,Seoul,VIP Suite,6386.89,1063.54,28363.11,35813.54
Knee Replacement,USA,Private,Non-Surgical,9.0,Kuala Lumpur,General Ward,8869.0,2481.96,864.14,12215.09
Knee Replacement,Germany,Premium International,Non-Surgical,12.0,Dubai,Semi-Private,12001.15,726.24,3711.72,16439.11
Oncology Treatment,Australia,Private,Chemotherapy,21.0,Mumbai,VIP Suite,61833.45,2311.57,21280.4,85425.42
Spinal Fusion,UK,Public,Surgical,22.0,Istanbul,Private,14543.38,990.38,8858.89,24392.65
Cosmetic Surgery,UAE,Public,Radiotherapy,16.0,Bangkok,Private,3613.58,1615.93,6378.6,11608.11
Spinal Fusion,UK,Premium International,Surgical,41.0,Dubai,Private,16165.06,1709.44,25846.38,
Knee Replacement,UAE,Premium International,Chemotherapy,24.0,Seoul,Private,17061.13,2292.84,14592.28,33946.25
Cosmetic Surgery,UK,Premium International,Radiotherapy,27.0,Istanbul,Semi-Private,25138.6,1775.21,5780.52,32694.33
Dental Implants,Australia,Public,Chemotherapy,25.0,Singapore,Private,6467.16,1504.04,14684.86,22656.06
Cosmetic Surgery,France,Private,Chemotherapy,,Istanbul,Semi-Private,3264.72,543.74,1011.71,4820.17
Heart Bypass,USA,Premium International,Non-Surgical,12.0,Kuala Lumpur,General Ward,83075.78,4107.95,1191.05,88374.78
Dental Implants,UAE,Private,Surgical,14.0,Mumbai,General Ward,3142.03,911.99,1361.12,5415.14
Spinal Fusion,France,Public,Surgical,15.0,Dubai,Private,13798.27,2811.98,9358.16,25968.4
Spinal Fusion,Canada,Private,Surgical,15.0,Kuala Lumpur,Private,18653.39,3529.1,5736.49,27918.97
Spinal Fusion,Australia,Public,Surgical,18.0,Mumbai,General Ward,2475.89,1337.82,1713.09,5526.8
Cosmetic Surgery,Canada,Public,Chemotherapy,6.0,Istanbul,Semi-Private,13888.54,1213.17,1202.15,16303.86
Spinal Fusion,UK,Premium International,Surgical,30.0,Kuala Lumpur,General Ward,23172.96,2200.56,3160.0,28533.52
Oncology Treatment,Canada,Private,Chemotherapy,11.0,Seoul,General Ward,79792.28,2427.9,1702.71,83922.88
Oncology Treatment,UAE,Private,Chemotherapy,13.0,Istanbul,Semi-Private,46532.69,477.54,2603.2,49613.44
Oncology Treatment,UK,Public,Radiotherapy,7.0,Dubai,Private,36308.44,3083.23,3897.29,43288.96
Cosmetic Surgery,Germany,Public,Non-Surgical,4.0,Singapore,VIP Suite,2829.58,1263.34,5457.01,9549.94
Knee Replacement,Canada,Private,Non-Surgical,15.0,Dubai,VIP Suite,19889.55,3626.56,21908.47,45424.58
Oncology Treatment,Germany,Premium International,Surgical,15.0,Dubai,Private,94125.9,1128.56,9584.4,104838.85
Spinal Fusion,Australia,Private,Radiotherapy,17.0,Dubai,VIP Suite,7256.95,2845.16,24037.63,34139.74
Dental Implants,UAE,Public,Radiotherapy,19.0,Singapore,Semi-Private,2907.31,2929.37,5497.4,11334.09
Heart Bypass,USA,Private,Radiotherapy,14.0,Singapore,VIP Suite,15342.69,1637.0,18394.64,35374.32
Oncology Treatment,Canada,Public,Chemotherapy,24.0,Singapore,General Ward,55633.35,3282.95,3478.25,62394.55
Cosmetic Surgery,USA,Premium International,Non-Surgical,21.0,Dubai,General Ward,18980.09,2607.73,3089.35,24677.17
Knee Replacement,France,Premium International,Radiotherapy,11.0,Dubai,VIP Suite,18902.24,2643.98,16497.03,38043.26
Cosmetic Surgery,Australia,Public,Non-Surgical,1.0,Istanbul,VIP Suite,8224.61,709.98,995.69,9930.28
Cataract Surgery,UK,Private,Radiotherapy,7.0,Istanbul,Semi-Private,6099.99,2247.81,1519.12,9866.92
Oncology Treatment,USA,Private,Chemotherapy,20.0,Istanbul,VIP Suite,35653.01,4056.27,20197.6,59906.88
Knee Replacement,UAE,Premium International,Radiotherapy,10.0,Bangkok,VIP Suite,15064.13,2436.35,11184.28,28684.76
Spinal Fusion,UAE,Private,Chemotherapy,38.0,Kuala Lumpur,VIP Suite,10785.87,1800.29,39431.32,52017.49
Heart Bypass,Canada,Premium International,Chemotherapy,35.0,Istanbul,Private,39495.53,1540.04,13935.77,54971.34
Cataract Surgery,Germany,Private,Chemotherapy,18.0,Singapore,VIP Suite,17686.56,2110.59,26380.51,46177.66
Cataract Surgery,UK,Premium International,Non-Surgical,7.0,Singapore,Semi-Private,10821.78,2117.57,2034.32,14973.66
Cataract Surgery,France,Premium International,Non-Surgical,14.0,Singapore,Semi-Private,15903.83,1524.35,4045.45,21473.63
Cosmetic Surgery,Australia,Public,Radiotherapy,7.0,Dubai,VIP Suite,6549.16,1871.4,9820.29,18240.85
Cataract Surgery,Australia,Public,Radiotherapy,11.0,Seoul,Private,14271.1,1557.61,5955.78,21784.49
Cataract Surgery,France,Public,Surgical,8.0,Kuala Lumpur,VIP Suite,9848.16,2227.36,7871.35,19946.86
Heart Bypass,Australia,Premium International,Radiotherapy,26.0,Dubai,VIP Suite,32824.18,666.1,39101.29,72591.57
Dental Implants,USA,Premium International,Radiotherapy,21.0,Dubai,General Ward,3079.4,1181.31,3074.25,7334.96
Spinal Fusion,Canada,Private,Non-Surgical,37.0,Bangkok,Semi-Private,6049.82,2764.39,6627.48,15441.69
Oncology Treatment,France,Public,Chemotherapy,28.0,Istanbul,Semi-Private,43613.37,2829.62,5900.46,52343.45
Cosmetic Surgery,UAE,Private,Surgical,26.0,Seoul,Private,8852.44,561.97,15196.82,24611.23
Oncology Treatment,USA,Premium International,Chemotherapy,4.0,Bangkok,Semi-Private,73487.4,1685.91,,75942.45
Cataract Surgery,UK,Private,Chemotherapy,9.0,Dubai,Private,17498.55,2933.44,5455.67,25887.67
Oncology Treatment,USA,Premium International,Chemotherapy,6.0,Istanbul,General Ward,46354.76,3367.54,591.07,50313.37
Spinal Fusion,USA,Private,Non-Surgical,21.0,Seoul,General Ward,14161.97,2730.21,3318.75,20210.93
Dental Implants,USA,Public,Surgical,12.0,Bangkok,Private,1120.04,2796.68,4800.67,8717.38
Dental Implants,UK,Private,Non-Surgical,29.0,Singapore,General Ward,4522.5,1555.31,3953.26,10031.08
Cataract Surgery,Australia,Premium International,Radiotherapy,14.0,Seoul,Semi-Private,20146.29,2945.44,4160.33,27252.06
Knee Replacement,France,Public,Chemotherapy,14.0,Kuala Lumpur,VIP Suite,6160.55,2267.83,,22706.16
Cataract Surgery,France,Private,Non-Surgical,4.0,Bangkok,General Ward,16065.56,1852.58,418.98,18337.12
Dental Implants,UK,Private,Radiotherapy,12.0,Dubai,General Ward,1611.65,2095.61,1848.9,5556.17
Cosmetic Surgery,Germany,Private,Chemotherapy,9.0,Bangkok,Semi-Private,14027.99,925.05,1828.51,16781.55
Spinal Fusion,Germany,Private,Chemotherapy,16.0,Mumbai,VIP Suite,17510.0,2387.06,15098.0,34995.06
Dental Implants,UAE,Public,Radiotherapy,1.0,Singapore,Semi-Private,2414.09,733.85,314.46,3462.4
Knee Replacement,USA,Private,Surgical,25.0,Kuala Lumpur,General Ward,21426.02,1210.95,2704.89,25341.86
Cosmetic Surgery,Germany,Premium International,Surgical,7.0,Bangkok,Private,10626.56,2679.93,2823.68,16130.17
Cataract Surgery,Germany,Public,Chemotherapy,8.0,Mumbai,General Ward,6855.59,1289.43,883.2,9028.22
Cataract Surgery,UK,Public,Chemotherapy,21.0,Mumbai,VIP Suite,5222.35,2054.67,19574.88,26851.9
Knee Replacement,UAE,Private,Non-Surgical,2.0,Bangkok,Private,10047.46,1278.9,806.46,12132.82
Dental Implants,Germany,Public,Radiotherapy,23.0,Seoul,General Ward,4837.8,,3676.67,9244.79
Cataract Surgery,Canada,Private,Surgical,19.0,Seoul,VIP Suite,4861.52,4488.13,29611.61,38961.26
Heart Bypass,France,Public,Chemotherapy,14.0,Dubai,Semi-Private,36348.56,843.14,3975.18,41166.87
Knee Replacement,USA,Public,Non-Surgical,9.0,Mumbai,General Ward,8242.65,3881.99,895.67,13020.31
Knee Replacement,UAE,Private,Radiotherapy,15.0,Dubai,Private,19446.71,2615.57,9413.58,31475.86
Cosmetic Surgery,France,Private,Radiotherapy,14.0,Seoul,VIP Suite,3909.95,1547.89,20056.61,25514.45
Knee Replacement,France,Private,Chemotherapy,2.0,Istanbul,General Ward,4833.61,2763.6,213.9,7811.11
Dental Implants,Australia,Premium International,Radiotherapy,25.0,Bangkok,Semi-Private,9863.42,842.65,4152.89,14858.96
Oncology Treatment,Australia,Public,Chemotherapy,28.0,Singapore,VIP Suite,23077.16,1752.64,39459.64,64289.44
Cosmetic Surgery,UK,Premium International,Radiotherapy,5.0,Seoul,Private,22525.84,1661.76,2949.44,27137.04
Heart Bypass,UAE,Premium International,Surgical,34.0,Mumbai,General Ward,31467.09,759.03,3427.3,35653.41
Heart Bypass,Germany,Premium International,Chemotherapy,42.0,Singapore,General Ward,47805.59,1458.24,6229.2,55493.03
Oncology Treatment,Canada,Private,Non-Surgical,29.0,Seoul,General Ward,60606.15,688.84,4231.19,65526.19
Oncology Treatment,Germany,Public,Surgical,18.0,Kuala Lumpur,Semi-Private,41521.32,927.94,3462.8,45912.06
Spinal Fusion,UAE,Public,Chemotherapy,10.0,Seoul,General Ward,13963.22,1138.24,1575.89,16677.36
Knee Replacement,Germany,Private,Surgical,17.0,Bangkok,General Ward,13952.33,2903.53,1685.83,18541.69
Cataract Surgery,Germany,Premium International,Radiotherapy,27.0,Istanbul,VIP Suite,14045.44,1119.51,26959.34,42124.29
Dental Implants,USA,Premium International,Radiotherapy,19.0,Bangkok,General Ward,2667.84,741.83,1807.7,5217.37
Spinal Fusion,Australia,Premium International,Radiotherapy,11.0,Seoul,Private,16357.36,2483.91,6609.83,25451.1
Heart Bypass,UAE,Public,Surgical,9.0,Istanbul,Private,10278.96,2102.91,3820.43,16202.29
Knee Replacement,UAE,Private,Radiotherapy,21.0,Istanbul,Semi-Private,4707.77,1600.27,4208.61,10516.65
Cataract Surgery,UK,Premium International,Non-Surgical,8.0,Seoul,General Ward,18335.81,769.25,1072.23,20177.29
Knee Replacement,USA,Private,Non-Surgical,20.0,Singapore,Semi-Private,4724.9,1551.31,6258.14,12534.35
Oncology Treatment,UAE,Public,Chemotherapy,18.0,Bangkok,Private,39878.16,984.57,7284.29,48147.03
Spinal Fusion,France,Private,Radiotherapy,35.0,Bangkok,Semi-Private,14453.67,780.38,6995.32,22229.37
Oncology Treatment,Australia,Public,Non-Surgical,29.0,Mumbai,General Ward,47909.44,2046.36,2775.84,52731.64
Heart Bypass,Germany,Premium International,Chemotherapy,14.0,Istanbul,Semi-Private,29927.56,2267.19,2836.49,35031.24
Cosmetic Surgery,UAE,Premium International,Radiotherapy,16.0,Istanbul,General Ward,20404.32,1748.88,1511.5,23664.69
Spinal Fusion,UAE,Premium International,Non-Surgical,10.0,Mumbai,General Ward,12190.38,2179.23,1019.7,15389.31
Cosmetic Surgery,UAE,Public,Non-Surgical,4.0,Dubai,Semi-Private,4166.52,1541.21,1184.65,6892.38
Dental Implants,France,Premium International,Chemotherapy,26.0,Kuala Lumpur,VIP Suite,9051.86,1992.59,25187.77,36232.23
Cataract Surgery,Canada,Public,Radiotherapy,22.0,Dubai,Private,11497.39,3561.69,14062.33,29121.41
Dental Implants,Australia,Private,Radiotherapy,1.0,Bangkok,Private,2203.7,1084.7,379.52,3667.91
Cataract Surgery,Australia,Premium International,Radiotherapy,15.0,Seoul,Semi-Private,25406.88,1597.12,4847.23,31851.23
Heart Bypass,Australia,Public,Non-Surgical,36.0,Istanbul,Private,34792.5,1192.75,15143.73,51128.98
Dental Implants,Germany,Public,Surgical,5.0,Istanbul,VIP Suite,5534.64,2088.31,5036.49,12659.44
Cataract Surgery,France,Public,Non-Surgical,12.0,Dubai,VIP Suite,3826.05,2392.89,17121.26,23340.2
Spinal Fusion,UAE,Private,Chemotherapy,37.0,Istanbul,VIP Suite,9745.42,2439.17,35617.66,47802.25
Spinal Fusion,Australia,Private,Non-Surgical,10.0,Mumbai,General Ward,7866.92,2400.85,1017.56,11285.34
Oncology Treatment,UAE,Public,Non-Surgical,24.0,Istanbul,VIP Suite,23347.22,2197.85,24680.47,50225.54
Heart Bypass,Canada,Premium International,Surgical,39.0,Kuala Lumpur,VIP Suite,22095.35,1559.09,40984.13,64638.56
Dental Implants,Germany,Private,Chemotherapy,9.0,Istanbul,Private,9053.79,1746.87,3699.28,14499.93
Knee Replacement,USA,Private,Surgical,22.0,Kuala Lumpur,Semi-Private,14960.28,3094.31,4536.21,22590.8
Oncology Treatment,France,Premium International,Non-Surgical,19.0,Mumbai,VIP Suite,97048.17,967.84,18515.09,116531.09
Oncology Treatment,Australia,Private,Chemotherapy,24.0,Dubai,Private,,2075.09,14461.97,35000.82
Cataract Surgery,UK,Public,Radiotherapy,24.0,Istanbul,General Ward,8287.61,2748.03,2783.17,13818.81
Cosmetic Surgery,UAE,Premium International,Surgical,11.0,Mumbai,Semi-Private,21872.5,2701.84,2301.12,26875.45
Cataract Surgery,Germany,Public,Chemotherapy,15.0,Seoul,General Ward,4394.06,2364.0,2369.63,9127.69
Cosmetic Surgery,Australia,Private,Radiotherapy,3.0,Mumbai,General Ward,20021.54,930.56,298.59,21250.69
Cataract Surgery,Canada,Public,Chemotherapy,14.0,Dubai,Semi-Private,3035.34,4063.98,4496.57,11595.89
Heart Bypass,UAE,Public,Radiotherapy,40.0,Kuala Lumpur,General Ward,11730.76,2670.3,4006.54,18407.6
Heart Bypass,Australia,Public,Chemotherapy,41.0,Istanbul,Semi-Private,13131.45,2667.73,8740.21,24539.39
Spinal Fusion,Australia,Public,Radiotherapy,15.0,Istanbul,Private,6485.64,1821.67,6163.75,14471.06
Knee Replacement,France,Public,Surgical,2.0,Mumbai,VIP Suite,6249.3,1687.95,2125.71,10062.96
Cosmetic Surgery,USA,Public,Chemotherapy,15.0,Mumbai,Semi-Private,5172.02,879.57,2861.53,8913.12
Cataract Surgery,Australia,Public,Chemotherapy,3.0,Seoul,Private,11301.66,1692.53,1739.0,14733.19
Spinal Fusion,USA,Public,Surgical,42.0,Dubai,VIP Suite,13748.56,3823.75,64290.93,81863.24
Spinal Fusion,Canada,Premium International,Radiotherapy,44.0,Mumbai,Semi-Private,8798.07,2155.06,8353.96,19307.08
Oncology Treatment,France,Premium International,Chemotherapy,8.0,Bangkok,General Ward,86622.49,2734.33,820.52,90177.34
Knee Replacement,Canada,Public,Chemotherapy,7.0,Singapore,General Ward,9946.7,2927.99,1167.31,14042.0
Spinal Fusion,UAE,Private,Chemotherapy,42.0,Dubai,General Ward,4227.32,1087.99,6551.98,11867.29
Spinal Fusion,USA,Premium International,Non-Surgical,10.0,Dubai,General Ward,22177.53,3797.73,1404.51,27379.78
Oncology Treatment,UAE,Premium International,Chemotherapy,17.0,Kuala Lumpur,Semi-Private,42854.89,1519.12,3716.32,48090.33
Cataract Surgery,Germany,Premium International,Chemotherapy,29.0,Bangkok,General Ward,16573.36,566.55,2934.95,20074.86
Cosmetic Surgery,Australia,Private,Radiotherapy,19.0,Seoul,General Ward,19109.19,1714.2,3083.69,23907.08
Cataract Surgery,UAE,Premium International,Chemotherapy,22.0,Singapore,VIP Suite,22826.67,2795.79,31464.05,57086.5
Spinal Fusion,UAE,Public,Surgical,28.0,Seoul,Semi-Private,5144.75,1402.03,8219.69,14766.48
Heart Bypass,USA,Public,Surgical,20.0,Bangkok,Private,28788.01,1809.99,7416.98,38014.98
Cosmetic Surgery,USA,Private,Surgical,11.0,Dubai,VIP Suite,14852.04,1687.38,16093.81,32633.22
Cosmetic Surgery,France,Public,Surgical,9.0,Kuala Lumpur,General Ward,11788.19,1846.87,944.66,14579.72
Oncology Treatment,Germany,Premium International,Non-Surgical,13.0,Mumbai,Private,108900.4,880.63,5289.4,115070.43
Dental Implants,Australia,Public,Chemotherapy,26.0,Bangkok,General Ward,7485.0,2571.49,2520.08,12576.57
Knee Replacement,UK,Private,Chemotherapy,4.0,Dubai,General Ward,9509.23,782.86,615.36,10907.45
Oncology Treatment,Germany,Public,Non-Surgical,11.0,Istanbul,Private,38802.69,1728.94,4330.18,44861.82
Cosmetic Surgery,Canada,Public,Non-Surgical,3.0,Kuala Lumpur,Semi-Private,8926.72,1269.66,596.14,10792.53
Dental Implants,UAE,Private,Surgical,17.0,Kuala Lumpur,Semi-Private,2831.54,1753.84,3342.98,7928.36
Cataract Surgery,Canada,Public,Radiotherapy,6.0,Bangkok,General Ward,12580.43,2483.3,545.42,15609.15
